mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id,color,time,dur,player,capped,conflicting
12,12,182/3,182/3,0.6666666666666666,2/3,2/3,4/4,1,1,1/6,1/4,2/3,,4,64,E4,4,122,,23.416666666666664,0,2,False,False
12,12,182/3,182/3,0.6666666666666666,2/3,2/3,4/4,1,1,1/6,1/4,2/3,,4,76,E5,5,122,,23.416666666666664,0,5,False,False
12,12,61,61,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,4,40,E2,2,127,,23.583333333333332,0,1,True,False
12,12,184/3,184/3,0.6666666666666666,5/6,5/6,4/4,1,1,1/6,1/4,2/3,,1,67,G4,4,123,,23.75,0,4,False,False
12,12,184/3,184/3,0.6666666666666666,5/6,5/6,4/4,1,1,1/6,1/4,2/3,,1,79,G5,5,123,,23.75,0,4,False,False
13,13,62,62,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,48,C3,3,135,,24.083333333333332,0,0,True,False
13,13,62,62,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,52,E3,3,135,,24.083333333333332,0,3,False,False
13,13,63,63,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,136,,24.583333333333332,0,0,True,False
13,13,63,63,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,4,52,E3,3,136,,24.583333333333332,0,3,False,False
13,13,63,63,0.3333333333333333,1/4,1/4,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,128,,24.583333333333332,0,4,False,False
13,13,190/3,190/3,0.3333333333333333,1/3,1/3,4/4,1,1,1/12,1/8,2/3,,3,69,A4,4,129,,24.75,0,1,False,False
13,13,191/3,191/3,0.3333333333333333,5/12,5/12,4/4,1,1,1/12,1/8,2/3,,5,71,B4,4,130,,24.916666666666668,0,2,False,False
13,13,64,64,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,48,C3,3,137,,25.083333333333336,0,0,True,False
13,13,64,64,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,4,52,E3,3,137,,25.083333333333336,0,3,False,False
13,13,64,64,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1,,5,71,B4,4,131,,25.083333333333336,0,2,False,False
13,13,65,65,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,138,,25.583333333333336,0,0,True,False
13,13,65,65,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,4,52,E3,3,138,,25.583333333333336,0,3,False,False
13,13,65,65,0.3333333333333333,3/4,3/4,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,132,,25.583333333333336,0,4,False,False
13,13,196/3,196/3,0.3333333333333333,5/6,5/6,4/4,1,1,1/12,1/8,2/3,,3,69,A4,4,133,,25.750000000000004,0,1,False,False
13,13,197/3,197/3,0.3333333333333333,11/12,11/12,4/4,1,1,1/12,1/8,2/3,,5,71,B4,4,134,,25.91666666666667,0,2,False,False
14,14,66,66,1.0,0,0,4/4,2,1,1/4,1/4,1,,1,43,G2,2,144,,26.08333333333334,0,3,True,False
14,14,66,66,1.0,0,0,4/4,2,1,1/4,1/4,1,,5,47,B2,2,144,,26.08333333333334,0,4,True,False
14,14,66,66,0.6666666666666666,0,0,4/4,1,1,1/6,1/4,2/3,,5,71,B4,4,139,,26.08333333333334,0,2,False,False
14,14,200/3,200/3,0.3333333333333333,1/6,1/6,4/4,1,1,1/12,1/8,2/3,,3,69,A4,4,140,,26.41666666666667,0,1,False,False
14,14,67,67,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,145,,26.58333333333334,0,3,True,False
14,14,67,67,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,5,47,B2,2,145,,26.58333333333334,0,4,True,False
14,14,203/3,203/3,0.3333333333333333,5/12,5/12,4/4,1,1,1/12,1/8,2/3,,2,74,D5,5,141,,26.91666666666667,0,1,False,False
14,14,68,68,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,1,43,G2,2,146,,27.08333333333334,0,3,True,False
14,14,68,68,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,5,47,B2,2,146,,27.08333333333334,0,4,True,False
14,14,69,69,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,147,,27.58333333333334,0,3,True,False
14,14,69,69,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,5,47,B2,2,147,,27.58333333333334,0,4,True,False
14,14,208/3,208/3,0.3333333333333333,5/6,5/6,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,142,,27.750000000000007,0,4,False,False
14,14,209/3,209/3,0.3333333333333333,11/12,11/12,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,143,,27.916666666666675,0,4,False,False
15,15,70,70,1.0,0,0,4/4,2,1,1/4,1/4,1,,2,38,D2,2,152,,28.083333333333343,0,0,True,False
15,15,70,70,1.0,0,0,4/4,2,1,1/4,1/4,1,,6,42,F#2,2,152,,28.083333333333343,0,5,True,False
15,15,70,70,1.0,0,0,4/4,1,1,1/4,1/4,1,,3,69,A4,4,148,,28.083333333333343,0,1,False,False
15,15,71,71,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,2,38,D2,2,153,,28.583333333333343,0,0,True,False
15,15,71,71,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,6,42,F#2,2,153,,28.583333333333343,0,5,True,False
15,15,215/3,215/3,0.3333333333333333,5/12,5/12,4/4,1,1,1/12,1/8,2/3,,6,78,F#5,5,149,,28.916666666666675,0,3,False,False
15,15,72,72,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,2,38,D2,2,154,,29.083333333333343,0,0,True,False
15,15,72,72,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,6,42,F#2,2,154,,29.083333333333343,0,5,True,False
15,15,73,73,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,2,38,D2,2,155,,29.583333333333343,0,0,True,False
15,15,73,73,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,6,42,F#2,2,155,,29.583333333333343,0,5,True,False
15,15,220/3,220/3,0.3333333333333333,5/6,5/6,4/4,1,1,1/12,1/8,2/3,,4,76,E5,5,150,,29.75000000000001,0,2,False,False
15,15,221/3,221/3,0.3333333333333333,11/12,11/12,4/4,1,1,1/12,1/8,2/3,,6,78,F#5,5,151,,29.91666666666668,0,3,False,False
16,16,74,74,1.0,0,0,4/4,2,1,1/4,1/4,1,,4,40,E2,2,164,,30.083333333333346,0,1,True,False
16,16,74,74,1.0,0,0,4/4,2,1,1/4,1/4,1,,1,43,G2,2,164,,30.083333333333346,0,3,True,False
16,16,74,74,0.6666666666666666,0,0,4/4,1,1,1/6,1/4,2/3,,4,76,E5,5,156,,30.083333333333346,0,2,False,False
16,16,224/3,224/3,0.3333333333333333,1/6,1/6,4/4,1,1,1/12,1/8,2/3,,4,76,E5,5,157,,30.41666666666668,0,2,False,False
16,16,75,75,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,4,40,E2,2,165,,30.583333333333346,0,1,True,False
16,16,75,75,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,165,,30.583333333333346,0,3,True,False
16,16,75,75,0.6666666666666666,1/4,1/4,4/4,1,1,1/6,1/4,2/3,,6,78,F#5,5,158,,30.583333333333346,0,3,False,False
